Policy,Eligibility
"[[0], [0, 1], [0, 0, 0], [0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 0], [1, 1, 1], [1, 1], [1]]6,1,4,2",-10.30830972336647
"[[0], [0, 1], [0, 0, 0], [0, 0, 0, 0], [1, 0, 1, 0, 1], [1, 1, 0, 1, 1, 1], [1, 0, 1, 0, 1], [1, 1, 1, 0], [1, 1, 1], [1, 1], [1]]5,5,7,3",-10.284601849591077
"[[0], [0, 1], [0, 0, 0], [0, 0, 0, 0], [1, 0, 1, 0, 1], [1, 1, 0, 1, 1, 0], [1, 0, 1, 0, 0], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]4,4,6,3",-10.235071800126763
"[[0], [0, 1], [0, 0, 0], [0, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 0], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]4,0,6,1",-10.298501361819596
"[[0], [0, 1], [0, 0, 0], [0, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 0, 1, 0, 0], [1, 1, 1, 1, 0], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]5,3,3,1",-10.239546691409739
"[[0], [0, 1], [0, 0, 0], [0, 1, 0, 0], [0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]6,2,6,4",-10.195854678479972
"[[0], [0, 1], [0, 0, 0], [0, 1, 0, 0], [0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]8,0,6,2",-10.172632295751393
"[[0], [0, 1], [0, 0, 0], [0, 1, 0, 0], [0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 1], [1, 0, 1, 1], [0, 1, 1], [1, 1], [1]]6,0,8,0",-10.13985266964233
"[[0], [0, 1], [0, 0, 0], [0, 1, 0, 0], [0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 1], [0, 0, 1, 1], [1, 1, 1], [1, 1], [1]]9,0,7,0",-10.072792902405158
"[[0], [0, 1], [0, 0, 0], [0, 1, 0, 0], [0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 1], [1, 0, 1, 1], [0, 1, 1], [0, 1], [1]]6,2,6,0",-10.059425682873243
"[[0], [0, 1], [0, 0, 0], [0, 1, 0, 0], [0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 1, 1], [0, 1, 1], [0, 1], [1]]6,0,8,0",-10.114737374106982
"[[0], [0, 1], [0, 0, 0], [0, 1, 0, 0], [0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1], [0, 1], [1]]7,2,9,0",-10.048454755269283
